PROGRAM,CGPA_AKHIR,POSTKOD,BANGSA,CACAT,JANTINA,AGAMA,TANGGUNGAN,GAJI,CGPA_MASUK,STATUS_GRAD,HEA_STATUS
OM221,2.84,70400,100,N,P,I,6,3,3,LULUS,TM
AM228,3.16,70400,100,N,P,I,6,4,3.25,LULUS,TM
AM228,3.34,70400,100,N,P,I,6,7,2.84,LULUS,TM
BM221,0,70400,100,N,P,I,6,2,2.5,GAGAL,MD
OM224,3.34,70400,100,N,P,I,7,8,2.58,LULUS,TS
LG221,2.96,70400,100,N,P,I,7,6,2.5,LULUS,TM
CT224,3.04,70400,100,N,P,I,8,5,2.92,LULUS,TM
BM220,3.16,70400,100,N,P,I,9,4,2.34,LULUS,TM
BM224,2.79,70300,100,N,L,I,2,4,2.75,LULUS,TM
IS221,0,70300,100,N,L,I,3,3,2.83,GAGAL,MD
BM223,2.97,70300,100,N,P,I,4,8,2.5,LULUS,TM
IM224,3.08,70300,100,N,P,I,4,3,2.84,LULUS,TS
BM230,2.98,70300,100,N,P,I,5,4,2.83,LULUS,TM
BM220,3.17,70300,100,N,P,I,5,1,3,LULUS,TM
BM220,3.26,70300,100,N,L,I,5,6,2.58,LULUS,TM
MC223,2.94,70200,100,N,L,I,4,3,2,LULUS,TM
BM224,0,70100,100,N,P,I,3,2,2.83,GAGAL,MD
BM224,3.01,70100,302,N,L,I,6,5,2.67,LULUS,TM
OM222,2.83,68100,100,N,P,I,1,2,2.84,LULUS,TS
AP229,3.14,68100,100,N,P,I,2,5,3.9,LULUS,TM
BM222,3.17,68100,100,N,P,I,2,2,2.33,LULUS,TM
AM228,3.33,68100,100,N,P,I,2,3,3.25,LULUS,TM
MC226,2.84,68100,100,N,P,I,2,6,2.08,LULUS,TM
BM230,2.92,68100,100,N,P,I,3,3,3.17,LULUS,TM
HM225,2.86,68100,100,N,P,I,4,1,2.58,LULUS,TM
AD226,3.15,68100,100,N,P,I,4,4,2.33,LULUS,TM
AS223,3.34,68100,100,N,P,I,4,8,2.75,LULUS,TM
BM223,2.99,68100,100,N,P,I,4,5,3.34,LULUS,TM
AP221,2.81,68100,100,N,P,I,4,5,2.67,LULUS,TM
OM224,2.89,68100,100,N,L,I,4,8,2.8,LULUS,TS
MC221,3.15,68100,100,N,L,I,5,4,2.17,LULUS,TM
BM230,1.81,68100,100,N,P,I,5,3,3,GAGAL,D5
BM220,3.41,68100,100,N,P,I,5,2,3,LULUS,TM
BM220,3.37,68100,100,N,P,I,5,6,2.42,LULUS,TM
